iter	RMSE
0	59981.73938
1	58990.65748
2	58176.96726
3	57428.78572
4	56729.79639
5	55999.58326
6	55433.20614
7	54846.4457
8	54258.91308
9	53703.82111
10	53316.11553
11	52850.05966
12	52425.68521
13	52101.34901
14	51785.34535
15	51487.19118
16	51198.20037
17	50895.60058
18	50667.40851
19	50408.26551
20	50165.95392
21	49950.72745
22	49756.10058
23	49537.47775
24	49399.13754
25	49280.67718
26	49078.61772
27	48950.44181
28	48825.17032
29	48698.28878
30	48604.83016
31	48454.84762
32	48349.23121
33	48239.92059
34	48135.76412
35	48014.87257
36	47921.87184
37	47837.08094
38	47776.60784
39	47691.33341
40	47606.3439
41	47549.52306
42	47477.82402
43	47394.26754
44	47316.17821
45	47269.32432
46	47227.39289
47	47170.30365
48	47097.02565
49	47033.52699
50	46979.10661
51	46971.2776
52	46923.9054
53	46874.98503
54	46820.20074
55	46776.8069
56	46752.88902
57	46711.28667
58	46661.50406
59	46613.74363
60	46585.77363
61	46549.90954
62	46527.98149
63	46500.20418
64	46479.75438
65	46440.74894
66	46389.47639
67	46358.48089
68	46333.84949
69	46290.98627
70	46239.87045
71	46215.84255
72	46189.92237
73	46142.91776
74	46111.75853
75	46078.77087
76	46053.06038
77	46036.47771
78	46016.34173
79	45989.95665
80	45969.2262
81	45934.50608
82	45901.93555
83	45881.61764
84	45866.0294
85	45853.06803
86	45832.03463
87	45807.04434
88	45780.89511
89	45769.15908
90	45746.15712
91	45714.03755
92	45704.54427
93	45679.32108
94	45668.28593
95	45652.68798
96	45633.50625
97	45622.38087
98	45582.30753
99	45567.71128
100	45542.32443
101	45517.55969
102	45494.11125
103	45458.34101
104	45435.97369
105	45403.95469
106	45382.53053
107	45371.05103
108	45350.23947
109	45327.2561
110	45318.03942
111	45296.77881
112	45282.30476
113	45268.2453
114	45248.89435
115	45225.14866
116	45209.02489
117	45196.45737
118	45185.3626
119	45160.81284
120	45133.92372
121	45120.64183
122	45111.12971
123	45098.5253
124	45083.18352
